SensorType,Time (s),ToF_Sensor1 (mm),ToF_Sensor2 (mm)
ToF,0.0,306.0,335.0
IMU,3.991,-0.0,-0.776,0.716,-19.374,11.603,-2.366
IMU,4.0,-0.035,-0.733,0.716,-16.923,6.343,-0.175
IMU,4.007,0.015,-0.801,0.7,-12.877,4.748,1.664
IMU,4.011,0.006,-0.758,0.701,-16.809,7.847,-7.259
IMU,4.015,-0.005,-0.75,0.688,-8.763,-5.519,-0.48
IMU,4.019,0.001,-0.752,0.688,-7.679,-2.335,-0.564
IMU,4.022,0.021,-0.795,0.689,-10.847,4.969,-0.419
IMU,4.028,0.017,-0.769,0.7,-4.931,-0.816,1.877
IMU,4.031,-0.0,-0.758,0.702,-5.603,-2.526,1.664
IMU,4.036,-0.005,-0.759,0.701,-2.465,-11.061,1.419
IMU,4.042,-0.001,-0.755,0.728,6.938,-9.129,7.832
IMU,4.046,0.006,-0.765,0.723,0.458,9.992,1.038
IMU,4.053,0.011,-0.759,0.718,-1.145,-2.297,0.19
IMU,4.061,0.019,-0.775,0.708,-8.679,-5.03,7.763
IMU,4.065,0.02,-0.764,0.71,-10.343,-13.58,9.251
IMU,4.069,0.001,-0.755,0.719,-14.786,-16.74,10.679
IMU,4.072,-0.026,-0.761,0.701,-15.954,0.122,4.328
IMU,4.081,-0.019,-0.772,0.703,-14.099,2.549,1.931
IMU,4.088,0.006,-0.776,0.673,-10.534,0.351,1.465
IMU,4.092,0.007,-0.779,0.671,-6.404,-0.259,-3.175
IMU,4.096,0.01,-0.774,0.666,-2.458,3.664,2.801
IMU,4.1,0.005,-0.783,0.668,0.778,-4.16,0.969
IMU,4.103,-0.005,-0.794,0.686,4.229,-9.564,1.572
IMU,4.109,-0.005,-0.761,0.706,6.29,-4.526,0.137
IMU,4.112,0.005,-0.771,0.709,4.16,1.305,1.251
IMU,4.121,0.001,-0.768,0.711,0.236,3.603,0.267
IMU,4.128,-0.035,-0.752,0.728,-5.984,6.458,-4.244
IMU,4.133,0.007,-0.784,0.704,-10.114,6.129,-6.946
IMU,4.138,0.035,-0.787,0.711,-10.45,-1.427,-2.282
IMU,4.143,-0.007,-0.779,0.707,-10.854,-0.847,1.839
IMU,4.147,-0.007,-0.769,0.702,-11.839,1.29,-0.656
IMU,4.152,-0.005,-0.773,0.688,-9.778,-4.007,-0.106
IMU,4.156,0.011,-0.774,0.689,-10.137,2.16,-1.931
IMU,4.159,0.02,-0.778,0.689,-9.29,4.396,-1.183
IMU,4.165,-0.001,-0.768,0.678,-4.992,-0.755,-0.58
IMU,4.168,0.0,-0.765,0.694,-3.656,2.732,-0.854
IMU,4.175,0.009,-0.771,0.697,-1.954,2.862,-0.786
IMU,4.18,0.006,-0.785,0.684,-2.305,3.45,0.923
IMU,4.183,0.004,-0.779,0.691,-1.32,-0.007,-1.236
IMU,4.187,-0.005,-0.782,0.708,-2.19,0.114,-1.343
IMU,4.195,-0.009,-0.775,0.709,-3.381,-3.312,2.931
IMU,4.198,-0.007,-0.79,0.706,-4.74,0.503,-0.717
IMU,4.204,0.004,-0.773,0.704,-7.419,-0.648,-0.061
IMU,4.208,0.005,-0.783,0.704,-10.396,0.877,3.137
IMU,4.216,0.01,-0.777,0.706,-10.374,-3.099,0.068
IMU,4.223,-0.001,-0.773,0.7,-12.847,-0.732,-0.358
IMU,4.227,0.001,-0.777,0.691,-11.175,0.114,-1.427
IMU,4.232,0.004,-0.775,0.681,-10.847,1.404,-3.351
IMU,4.239,0.0,-0.774,0.684,-9.732,1.206,2.618
IMU,4.242,-0.005,-0.772,0.674,-7.954,3.19,-3.572
IMU,4.249,0.005,-0.779,0.687,-3.778,2.839,-2.526
IMU,4.254,0.011,-0.782,0.682,-2.267,0.137,1.114
IMU,4.259,-0.004,-0.782,0.685,-0.679,1.122,-1.473
IMU,4.264,0.007,-0.776,0.691,-1.244,-2.755,-3.595
IMU,4.268,-0.002,-0.774,0.698,-1.541,4.557,-1.503
IMU,4.273,-0.002,-0.784,0.697,-1.664,1.03,1.45
IMU,4.276,-0.003,-0.769,0.69,-2.755,-0.633,-2.0
IMU,4.28,0.01,-0.775,0.693,-3.809,0.847,-0.259
IMU,4.286,-0.0,-0.785,0.703,-4.343,0.374,-0.198
IMU,4.289,-0.001,-0.776,0.694,-4.732,-1.053,0.923
IMU,4.296,0.001,-0.769,0.689,-3.091,4.053,-3.038
IMU,4.301,0.006,-0.774,0.679,-5.961,0.77,0.389
IMU,4.304,-0.008,-0.773,0.701,-5.221,-6.496,1.206
IMU,4.308,-0.004,-0.774,0.699,-5.832,4.923,-1.152
IMU,4.314,0.003,-0.763,0.713,-9.114,-1.068,-0.549
IMU,4.317,0.008,-0.783,0.71,-10.305,6.183,-2.984
IMU,4.324,0.011,-0.784,0.708,-16.206,0.297,1.633
IMU,4.328,0.01,-0.784,0.712,-19.862,-4.198,3.129
IMU,4.333,0.012,-0.796,0.699,-23.061,-3.183,3.221
IMU,4.34,-0.015,-0.769,0.687,-28.335,-12.656,4.244
IMU,4.343,-0.021,-0.764,0.688,-29.931,-5.877,4.083
IMU,4.35,-0.003,-0.772,0.694,-31.793,-3.496,2.198
IMU,4.355,0.001,-0.793,0.673,-31.213,-7.099,-0.106
IMU,4.36,0.006,-0.781,0.675,-31.198,-0.259,1.954
IMU,4.365,-0.008,-0.785,0.666,-34.267,-6.648,4.473
IMU,4.369,-0.019,-0.796,0.666,-29.45,-3.259,-1.778
IMU,4.374,-0.006,-0.795,0.668,-29.969,-2.122,2.557
IMU,4.382,0.006,-0.798,0.659,-27.259,1.511,-2.229
IMU,4.386,0.01,-0.799,0.655,-25.862,-1.587,-2.274
IMU,4.39,0.01,-0.806,0.658,-23.732,-4.015,2.862
IMU,4.395,0.006,-0.796,0.649,-18.809,-3.229,0.312
IMU,4.399,0.002,-0.801,0.655,-18.274,-4.801,4.358
IMU,4.406,0.008,-0.796,0.658,-16.381,0.885,0.549
IMU,4.414,-0.003,-0.792,0.669,-16.618,1.709,-0.557
IMU,4.417,-0.006,-0.795,0.665,-15.732,0.053,1.229
IMU,4.422,0.0,-0.808,0.661,-16.488,3.106,-2.358
IMU,4.425,0.0,-0.805,0.669,-16.236,6.755,-2.183
IMU,4.429,0.014,-0.814,0.655,-17.755,-3.236,1.671
IMU,4.435,-0.002,-0.811,0.648,-17.618,-2.083,-1.381
IMU,4.439,0.008,-0.807,0.647,-16.732,-1.419,-0.083
IMU,4.446,0.012,-0.808,0.644,-12.389,0.503,1.725
IMU,4.454,0.008,-0.808,0.648,-9.885,0.129,-0.9
IMU,4.459,-0.005,-0.814,0.643,-10.32,-5.801,-1.076
IMU,4.463,-0.003,-0.816,0.637,-10.465,2.0,1.824
IMU,4.466,0.008,-0.805,0.644,-7.885,-2.961,-1.167
IMU,4.47,0.003,-0.812,0.648,-5.366,-1.282,3.122
IMU,4.476,-0.012,-0.804,0.645,-4.259,1.534,-0.122
IMU,4.479,0.01,-0.818,0.651,-0.396,-0.717,0.763
IMU,4.486,0.011,-0.817,0.645,-4.916,-0.679,-1.9
IMU,4.494,0.011,-0.793,0.656,-1.77,-0.419,-1.061
IMU,4.497,0.021,-0.785,0.677,0.618,8.748,-5.648
IMU,4.502,0.035,-0.791,0.655,0.374,9.938,-9.061
IMU,4.505,-0.049,-0.883,0.642,0.053,3.167,-1.404
IMU,4.514,0.024,-0.788,0.645,0.847,1.969,0.595
IMU,4.522,0.015,-0.809,0.657,0.267,-1.793,-2.091
IMU,4.526,0.015,-0.843,0.649,2.305,-0.091,-1.137
IMU,4.535,-0.026,-0.805,0.673,4.442,1.16,3.305
IMU,4.542,-0.038,-0.793,0.654,8.801,8.641,-6.58
IMU,4.546,0.027,-0.838,0.676,4.969,4.778,-9.038
IMU,4.55,0.024,-0.819,0.662,4.175,3.603,0.145
IMU,4.556,-0.004,-0.812,0.656,-2.19,0.633,-0.48
IMU,4.56,-0.001,-0.808,0.665,-4.404,-2.312,-4.236
IMU,4.567,-0.007,-0.801,0.662,-4.534,1.625,-0.564
IMU,4.575,0.01,-0.817,0.658,-6.259,2.106,2.038
IMU,4.578,0.006,-0.806,0.647,-7.374,-5.656,-1.717
IMU,4.583,-0.002,-0.811,0.651,-8.938,-2.091,1.099
IMU,4.586,0.004,-0.812,0.649,-6.465,-1.343,-2.656
IMU,4.59,0.002,-0.808,0.636,-7.9,2.145,-1.038
IMU,4.596,0.001,-0.812,0.645,-5.29,-2.03,-0.022
IMU,4.599,0.002,-0.818,0.643,-4.022,6.0,-0.183
IMU,4.606,0.006,-0.819,0.642,-0.58,2.19,-3.305
IMU,4.611,-0.001,-0.812,0.643,-0.404,-2.595,-2.152
IMU,4.615,0.004,-0.8,0.648,0.358,1.145,2.312
IMU,4.621,-0.011,-0.806,0.658,0.938,0.847,-2.206
IMU,4.624,-0.009,-0.811,0.647,0.465,-4.083,1.893
IMU,4.629,-0.008,-0.801,0.656,-0.106,-2.709,2.824
IMU,4.633,-0.002,-0.806,0.657,-0.541,-0.679,-2.274
IMU,4.637,-0.0,-0.803,0.658,-2.183,2.076,0.801
IMU,4.642,0.004,-0.803,0.652,-3.419,-2.213,-3.328
IMU,4.646,-0.002,-0.806,0.652,-4.77,0.091,-0.198
IMU,4.654,0.01,-0.81,0.656,-6.748,7.183,-0.129
IMU,4.662,0.0,-0.804,0.648,-6.87,2.58,-0.732
IMU,4.67,-0.001,-0.807,0.649,-4.167,2.389,-0.083
IMU,4.674,0.004,-0.814,0.645,-3.702,-1.244,1.442
IMU,4.682,0.006,-0.811,0.647,-2.305,-7.877,1.198
IMU,4.69,0.004,-0.81,0.662,-3.755,-3.595,-2.992
IMU,4.693,0.009,-0.815,0.654,-1.656,-0.717,1.145
IMU,4.701,0.009,-0.816,0.655,-2.648,1.671,-0.152
IMU,4.705,0.009,-0.817,0.66,-2.648,1.251,-0.671
IMU,4.713,-0.0,-0.814,0.652,-3.076,0.664,-2.351
IMU,4.72,0.005,-0.82,0.66,-3.335,5.9,0.763
IMU,4.724,0.008,-0.802,0.651,-2.87,7.29,0.32
IMU,4.732,0.011,-0.802,0.652,-3.969,-0.778,-1.076
IMU,4.74,-0.002,-0.812,0.659,-3.19,2.541,-2.603
IMU,4.744,-0.0,-0.818,0.649,-1.435,4.396,-1.358
IMU,4.751,-0.004,-0.81,0.655,-2.16,3.297,-0.977
IMU,4.755,-0.004,-0.821,0.661,-2.656,4.564,-0.328
IMU,4.763,-0.0,-0.815,0.65,-1.778,-1.053,-0.488
IMU,4.771,-0.003,-0.816,0.659,-3.839,4.58,-0.129
IMU,4.775,0.006,-0.819,0.656,-4.312,-3.595,-2.648
IMU,4.783,0.004,-0.802,0.644,-3.229,0.938,1.687
IMU,4.788,0.0,-0.811,0.651,-5.458,-0.076,2.923
IMU,4.792,-0.002,-0.802,0.655,-5.458,2.893,-1.106
IMU,4.799,-0.004,-0.807,0.652,-2.656,4.458,1.282
IMU,4.803,-0.004,-0.806,0.646,-2.595,-0.671,2.267
IMU,4.807,-0.024,-0.81,0.645,-4.213,4.038,-1.16
IMU,4.811,-0.001,-0.812,0.654,-3.083,-3.427,0.053
IMU,4.814,0.01,-0.81,0.648,-2.633,-1.564,-2.969
IMU,4.82,0.007,-0.805,0.652,-3.053,-3.534,1.183
IMU,4.823,0.0,-0.813,0.647,-2.519,0.847,0.061
IMU,4.832,-0.005,-0.807,0.652,-0.427,-2.427,-1.32
IMU,4.839,-0.0,-0.823,0.646,-0.335,-2.732,3.259
IMU,4.847,-0.001,-0.812,0.667,-2.213,2.282,1.083
IMU,4.851,-0.008,-0.805,0.652,-3.03,0.641,0.473
IMU,4.86,-0.004,-0.821,0.645,-3.099,-0.946,-0.938
IMU,4.865,0.01,-0.795,0.645,-2.259,1.007,0.77
IMU,4.868,0.003,-0.811,0.652,-2.374,2.465,2.19
IMU,4.875,0.009,-0.815,0.648,-1.129,-5.519,-1.839
IMU,4.879,-0.005,-0.801,0.644,-0.755,-2.198,-0.442
IMU,4.883,0.003,-0.811,0.654,-2.473,-2.809,0.816
IMU,4.887,-0.006,-0.817,0.652,-1.969,-5.938,-0.893
IMU,4.89,0.0,-0.809,0.635,-2.114,-0.725,2.916
IMU,4.896,0.007,-0.818,0.645,-0.465,-2.335,1.061
IMU,4.899,-0.005,-0.793,0.65,-1.038,0.282,-2.77
IMU,4.906,0.004,-0.82,0.66,-0.03,9.221,-0.564
IMU,4.911,0.004,-0.823,0.644,2.58,4.435,-1.061
IMU,4.914,0.005,-0.804,0.646,-0.305,3.259,-0.717
IMU,4.918,0.018,-0.817,0.648,-0.221,4.503,1.992
IMU,4.924,-0.01,-0.806,0.651,-1.282,-0.854,-2.526
IMU,4.928,0.007,-0.815,0.654,-0.335,-2.129,1.931
IMU,4.935,-0.007,-0.806,0.648,-2.206,-4.687,-0.396
IMU,4.94,0.004,-0.799,0.649,-2.03,-4.725,-0.618
IMU,4.944,-0.0,-0.805,0.638,-2.007,-0.381,-1.74
IMU,4.95,-0.001,-0.807,0.651,-2.175,-1.167,1.603
IMU,4.953,0.003,-0.814,0.66,-2.038,-2.274,-3.083
IMU,4.958,-0.003,-0.807,0.658,-1.106,-3.122,-2.305
IMU,4.967,0.0,-0.801,0.65,-5.213,1.74,0.175
IMU,4.97,0.0,-0.812,0.658,-4.687,1.305,0.259
IMU,4.974,0.0,-0.802,0.646,-4.671,-4.374,-1.77
IMU,4.98,-0.002,-0.801,0.647,-5.053,-2.748,-3.335
IMU,4.983,-0.01,-0.795,0.653,-1.305,-2.557,-0.541
IMU,4.99,0.003,-0.812,0.655,1.305,0.312,1.175
IMU,4.994,0.001,-0.806,0.648,2.938,1.763,-0.122
